2
5000 8000
AAA GHY 407.43
AAB AMI 131.52
AAC EUZ 245.10
AAD GNV 177.82
AAE BRO 702.65
AAF BVW 871.43
AAG EPV 657.48
AAH COA 383.43
AAI FZK 104.62
AAJ BCR 909.11
AAK GVK 825.31
AAL CHY 733.56
AAM GUA 338.37
AAN DXD 819.43
AAO DPE 602.08
AAP DKP 483.79
AAQ CGX 916.84
AAR DTY 976.23
AAS CPP 761.32
AAT EBT 133.13
AAU ARP 292.41
AAV HJX 353.46
AAW FLX 35.72
AAX FZE 380.57
AAY AMI 790.82
AAZ CKB 861.31
ABA GQP 212.85
ABB AES 295.23
ABC CEL 354.16
ABD CYA 991.03
ABE DRM 452.41
ABF EWC 456.31
ABG GVE 253.65
ABH EFP 21.76
ABI ASW 913.63
ABJ AXH 805.99
ABK BKJ 159.47
ABL BHN 319.46
ABM AAE 59.86
ABN ACQ 662.57
ABO DNW 153.24
ABP CJX 630.34
ABQ DUJ 118.76
ABR FKE 80.84
ABS DGD 203.76
ABT AXU 919.72
ABU DWD 710.22
ABV EBJ 352.48
ABW DPG 972.09
ABX HHK 305.89
ABY BTS 529.14
ABZ AIF 418.81
ACA FRG 434.85
ACB GPZ 210.84
ACC FMB 438.32
ACD ATO 345.40
ACE FVA 560.82
ACF GJU 284.70
ACG EHU 64.83
ACH ETO 479.54
ACI BXE 764.45
ACJ DQX 88.30
ACK AQO 938.81
ACL DPY 765.59
ACM DEQ 978.54
ACN DDP 287.18
ACO AXC 346.88
ACP ESB 686.86
ACQ BRF 607.80
ACR BLC 439.96
ACS HGA 98.16
ACT BIO 964.72
ACU BXU 88.14
ACV CLM 502.08
ACW GRQ 942.00
ACX AYW 748.62
ACY ABS 707.92
ACZ BNL 344.65
ADA BNK 604.74
ADB GYA 48.19
ADC HGC 345.24
ADD GGA 581.53
ADE CSU 204.90
ADF DWW 637.37
ADG GBE 329.63
ADH GCX 185.86
ADI ACG 189.74
ADJ GDH 413.82
ADK CJE 563.53
ADL AVH 757.91
ADM AZD 224.57
ADN GUZ 375.51
ADO CZP 670.49
ADP DTB 69.79
ADQ ERE 993.93
ADR FUS 185.55
ADS CNT 780.40
ADT HFU 194.82
ADU GTW 35.49
ADV EGE 125.04
ADW BPY 236.58
ADX FXG 119.95
ADY EZX 461.49
ADZ FSG 31.25
AEA FUQ 613.20
AEB AEZ 857.59
AEC EXJ 459.21
AED GKG 97.30
AEE CNT 116.80
AEF DPH 568.45
AEG CPL 448.60
AEH GHO 776.95
AEI FFU 684.62
AEJ CZJ 541.35
AEK CLB 131.02
AEL EPS 412.27
AEM GTY 977.30
AEN AIX 120.96
AEO AIO 393.04
AEP CYA 790.85
AEQ HEI 104.90
AER ECI 171.05
AES ESP 45.07
AET DTR 20.86
AEU AKY 762.49
AEV BQR 763.17
AEW FYI 670.37
AEX CTF 767.13
AEY BGQ 675.42
AEZ CYU 238.62
AFA CDL 974.88
AFB AIK 501.08
AFC FGV 510.15
AFD CMH 554.49
AFE BIC 937.79
AFF AXX 236.47
AFG BCY 157.30
AFH CJE 933.85
AFI CSE 839.40
AFJ AHH 854.81
AFK CRE 34.60
AFL CTD 976.50
AFM GLV 321.63
AFN GYZ 387.00
AFO FUO 215.64
AFP FZW 130.54
AFQ ERQ 603.55
AFR EAS 306.22
AFS DPF 417.19
AFT CTE 343.94
AFU EMZ 533.09
AFV APB 724.72
AFW DGZ 151.46
AFX AQW 219.81
AFY FQT 103.85
AFZ FRX 756.27
AGA GWB 856.13
AGB ECU 6.94
AGC GNA 803.44
AGD CVK 338.34
AGE CUQ 183.08
AGF AAP 209.60
AGG EIW 264.02
AGH GQC 227.38
AGI DEA 703.57
AGJ FLA 363.24
AGK AFS 315.25
AGL CMH 90.58
AGM DNZ 237.10
AGN GBN 621.09
AGO GBG 712.06
AGP ESA 642.93
AGQ BZN 600.69
AGR APY 73.00
AGS DRQ 370.86
AGT APE 423.22
AGU GWH 43.74
AGV DDX 667.62
AGW GRC 475.69
AGX GIP 316.03
AGY EIP 629.84
AGZ GRL 579.45
AHA EZB 94.28
AHB EQS 575.33
AHC BMG 307.47
AHD EXD 835.85
AHE EGS 900.83
AHF AFW 78.29
AHG CFA 455.70
AHH DYE 69.18
AHI GHD 889.68
AHJ GYP 544.02
AHK BSU 452.28
AHL GDP 568.24
AHM FBV 106.64
AHN AAA 434.28
AHO CAW 727.06
AHP FEC 8.62
AHQ FAP 10.81
AHR CSI 316.24
AHS AIC 943.89
AHT BFS 664.86
AHU AZR 794.40
AHV AAK 509.77
AHW EHJ 221.49
AHX BRA 240.18
AHY FBP 234.88
AHZ ACQ 208.13
AIA FXL 995.85
AIB CJQ 942.18
AIC DXU 987.68
AID EES 166.02
AIE DQU 553.72
AIF CDY 863.13
AIG EIZ 922.11
AIH CJP 46.34
AII DRC 494.99
AIJ ALG 874.25
AIK HAW 781.40
AIL ALD 866.54
AIM AZX 290.02
AIN FRU 277.59
AIO HHK 890.94
AIP ABF 539.11
AIQ EQJ 589.13
AIR FZD 316.33
AIS EUM 21.27
AIT FSE 618.60
AIU ESB 820.52
AIV GIA 303.06
AIW BXS 824.62
AIX EXM 772.17
AIY BMG 387.65
AIZ CVH 99.58
AJA CKA 357.49
AJB BQL 335.46
AJC BYG 236.37
AJD GBB 499.45
AJE AIA 262.30
AJF CFO 341.15
AJG BCU 846.89
AJH CRX 755.29
AJI FNX 303.36
AJJ FNX 606.69
AJK DLN 182.66
AJL DCB 30.05
AJM AIO 586.19
AJN DNS 653.95
AJO ANP 612.16
AJP EXP 142.89
AJQ EFC 883.17
AJR EXF 107.72
AJS DBQ 254.94
AJT COI 573.90
AJU CFX 972.78
AJV CXS 695.72
AJW CDY 736.06
AJX ALI 687.85
AJY BFA 151.95
AJZ HDE 490.35
AKA DAM 531.33
AKB CPK 668.95
AKC DKC 486.14
AKD BTN 91.37
AKE HBU 239.95
AKF FKY 558.52
AKG CKN 39.66
AKH GPO 569.71
AKI GLU 436.95
AKJ BLL 975.37
AKK FDD 222.19
AKL DFT 392.93
AKM GOK 449.15
AKN CEH 324.72
AKO EFZ 702.36
AKP GZP 262.77
AKQ ESA 499.00
AKR HFE 514.74
AKS CXN 254.62
AKT BFD 410.49
AKU CVE 330.93
AKV FBG 944.73
AKW CDP 798.79
AKX FHM 828.72
AKY CPT 821.59
AKZ BCC 808.99
ALA AHL 802.23
ALB AFI 329.08
ALC COQ 446.23
ALD BUQ 16.01
ALE EGS 795.91
ALF BGL 709.33
ALG FOP 210.50
ALH EGE 607.10
ALI EPR 320.74
ALJ AGM 450.25
