1
2000 4000
AAA CEM 146.76
AAB CRN 814.25
AAC CAA 154.48
AAD CBB 224.00
AAE BBF 160.82
AAF AND 427.19
AAG AEN 998.19
AAH CVZ 97.09
AAI BPS 931.29
AAJ BPT 895.09
AAK CWK 272.87
AAL BSM 744.50
AAM CGN 990.60
AAN AIB 545.01
AAO BFM 635.95
AAP AXZ 163.03
AAQ ADC 302.86
AAR ADI 644.31
AAS BTN 414.32
AAT CGH 314.65
AAU AHC 38.91
AAV ACK 342.08
AAW AKK 906.53
AAX AFF 559.85
AAY CTA 593.54
AAZ BMF 815.72
ABA AOK 937.80
ABB BTW 585.02
ABC BMP 178.96
ABD CFJ 454.01
ABE ACE 938.21
ABF ARR 761.15
ABG BIO 921.37
ABH CVX 25.45
ABI AAK 600.81
ABJ CXW 74.36
ABK CYV 245.46
ABL CHS 840.34
ABM AOH 182.67
ABN CXX 316.87
ABO BWL 345.69
ABP ANL 969.67
ABQ CEN 856.33
ABR CGV 538.93
ABS CLI 848.24
ABT BMK 13.73
ABU CSU 937.03
ABV AHK 354.57
ABW AAD 507.38
ABX BTB 521.13
ABY CVE 883.65
ABZ BWQ 74.96
ACA CUK 338.99
ACB ATY 608.16
ACC ATJ 806.06
ACD BTF 624.91
ACE CEC 221.14
ACF ADV 598.77
ACG CQC 312.79
ACH ARO 439.81
ACI CAC 294.17
ACJ CEQ 274.54
ACK BWP 391.94
ACL AKY 416.64
ACM CQJ 172.66
ACN CYI 498.07
ACO CLR 696.79
ACP CIS 512.48
ACQ AQA 815.38
ACR ATC 884.48
ACS BKE 372.71
ACT CBH 936.71
ACU CVC 267.50
ACV AOS 834.84
ACW CEJ 836.71
ACX CDK 68.38
ACY AYU 891.71
ACZ BBP 852.64
ADA BJS 299.07
ADB BTE 673.53
ADC BSR 207.05
ADD BCJ 855.10
ADE BDE 71.68
ADF BBE 266.67
ADG BQY 815.26
ADH BER 672.02
ADI BVE 824.08
ADJ BSO 945.34
ADK AAS 471.26
ADL BSF 835.40
ADM BCC 218.36
ADN CAH 929.41
ADO AHX 573.74
ADP BXI 720.77
ADQ CQO 51.33
ADR AHJ 508.08
ADS AMG 892.95
ADT ARW 652.80
ADU CWX 894.28
ADV BKS 851.70
ADW BBX 234.15
ADX CSD 897.51
ADY AKZ 623.03
ADZ CCZ 149.82
AEA BHQ 786.55
AEB BGL 729.31
AEC CUA 216.05
AED BLR 605.55
AEE BLW 440.78
AEF CID 826.13
AEG CCR 47.66
AEH ACK 241.06
AEI CBI 697.39
AEJ CGL 905.26
AEK ABW 976.86
AEL BQJ 628.25
AEM AWE 607.73
AEN CCY 432.77
AEO AJZ 532.13
AEP AIN 488.58
AEQ CQV 894.85
AER BPY 814.16
AES CXV 40.13
AET ADN 64.22
AEU BNV 909.55
AEV ACW 300.07
AEW AEJ 224.57
AEX AVC 61.36
AEY AZM 598.52
AEZ CUS 4.20
AFA BVX 50.62
AFB CSQ 113.43
AFC AXW 321.74
AFD CBJ 216.16
AFE ASG 292.31
AFF BBP 499.60
AFG CON 86.15
AFH AYF 461.59
AFI AWJ 60.52
AFJ BMU 770.72
AFK BPN 579.69
AFL BDY 254.34
AFM CIK 775.45
AFN CPH 53.26
AFO CPE 445.84
AFP CLI 439.91
AFQ BZI 853.44
AFR CGK 318.34
AFS CDV 263.07
AFT CHE 192.57
AFU BUW 239.25
AFV BIJ 906.07
AFW BRB 332.99
AFX BZZ 615.22
AFY BKK 57.00
AFZ AAV 527.11
AGA AFP 620.26
AGB CVZ 767.99
AGC ASK 97.15
AGD ALN 260.24
AGE AAP 205.76
AGF CVW 39.46
AGG CQM 417.01
AGH AAI 234.38
AGI BAU 55.83
AGJ CTP 398.99
AGK ATM 282.66
AGL CIF 947.54
AGM AYE 999.77
AGN ABE 172.68
AGO CYE 275.74
AGP CXC 20.51
AGQ BGT 481.25
AGR AHL 782.27
AGS AJR 773.29
AGT CVH 448.44
AGU BRY 906.18
AGV AMI 38.26
AGW CKE 172.75
AGX BHA 3.28
AGY AWH 863.12
AGZ AWG 687.19
AHA CER 34.38
AHB CCL 924.95
AHC CPW 524.53
AHD AOQ 254.45
AHE CFP 960.96
AHF AIN 186.84
AHG BJC 227.00
AHH AOR 347.66
AHI CXN 175.15
AHJ AFE 142.86
AHK ARW 611.05
AHL AOQ 404.54
AHM BRQ 780.81
AHN BCR 175.91
AHO ALY 137.14
AHP CFW 116.76
AHQ AGP 661.36
AHR BKF 369.19
AHS AOB 302.87
AHT AOT 313.21
AHU AAG 62.14
AHV BJE 869.57
AHW ACX 469.18
AHX BEF 452.95
AHY CWJ 340.38
AHZ BSA 889.19
AIA COJ 267.50
AIB BTN 898.76
AIC CEL 192.12
AID BXE 19.28
AIE CXG 101.30
AIF AXU 827.82
AIG CNL 504.80
AIH BDN 275.59
AII BHX 984.18
AIJ AYI 235.03
AIK ARS 252.39
AIL ATP 335.46
AIM BTX 485.35
AIN AWC 692.94
AIO AIG 711.27
AIP CUF 940.70
AIQ ALM 202.91
AIR CFV 354.12
AIS BZO 241.18
AIT AJO 887.81
AIU CID 672.97
AIV CQJ 268.66
AIW BDX 76.17
AIX ABJ 148.96
AIY APJ 296.58
AIZ BIN 106.68
AJA AVU 652.11
AJB CPF 434.06
AJC BON 557.60
AJD BVR 126.73
AJE BQD 36.19
AJF CVM 574.68
AJG BHW 233.93
AJH CTR 797.66
AJI AVB 465.72
AJJ CTX 981.11
AJK BZD 564.63
AJL ADC 479.98
AJM BVZ 121.07
AJN AEN 864.67
AJO BRR 176.46
AJP BHA 293.67
AJQ BRH 740.54
AJR CRU 129.57
AJS CYG 181.78
AJT CRD 894.05
AJU BHP 814.29
AJV BTE 457.08
AJW CSG 397.53
AJX BAB 850.38
AJY CFT 103.73
AJZ BTS 165.47
AKA BIN 408.31
AKB BXQ 636.20
